Index,F1_25,F2_25,F3_25,F1_50,F2_50,F3_50,F1_75,F2_75,F3_75
401,834.50,1535.84,2361.53,832.00,1492.57,2337.39,776.65,1439.24,2274.11
402,834.39,1535.99,2361.68,831.95,1492.59,2337.49,776.47,1439.37,2274.17
403,834.28,1536.14,2361.83,831.90,1492.61,2337.58,776.29,1439.50,2274.23
404,834.17,1536.29,2361.97,831.84,1492.63,2337.68,776.11,1439.63,2274.29
405,834.06,1536.45,2362.09,831.79,1492.65,2337.77,775.93,1439.75,2274.34
406,833.96,1536.60,2362.21,831.74,1492.67,2337.86,775.75,1439.88,2274.40
407,833.86,1536.75,2362.32,831.69,1492.69,2337.95,775.56,1440.00,2274.45
408,833.76,1536.90,2362.42,831.63,1492.72,2338.04,775.38,1440.13,2274.51
409,833.66,1537.05,2362.51,831.58,1492.74,2338.13,775.19,1440.25,2274.56
410,833.57,1537.19,2362.59,831.53,1492.76,2338.21,775.00,1440.37,2274.62
411,833.47,1537.34,2362.67,831.48,1492.79,2338.30,774.82,1440.49,2274.67
412,833.38,1537.49,2362.74,831.43,1492.81,2338.38,774.63,1440.60,2274.72
413,833.29,1537.64,2362.80,831.38,1492.83,2338.46,774.44,1440.72,2274.77
414,833.20,1537.79,2362.86,831.33,1492.86,2338.54,774.25,1440.84,2274.82
415,833.11,1537.94,2362.91,831.28,1492.88,2338.62,774.06,1440.95,2274.88
416,833.03,1538.09,2362.95,831.22,1492.91,2338.70,773.87,1441.06,2274.93
417,832.94,1538.23,2362.99,831.17,1492.94,2338.78,773.67,1441.18,2274.98
418,832.86,1538.38,2363.02,831.12,1492.96,2338.85,773.48,1441.29,2275.03
419,832.78,1538.53,2363.05,831.07,1492.99,2338.93,773.29,1441.40,2275.07
420,832.69,1538.68,2363.07,831.02,1493.02,2339.00,773.09,1441.50,2275.12
421,832.61,1538.82,2363.09,830.97,1493.05,2339.08,772.90,1441.61,2275.17
422,832.53,1538.97,2363.10,830.92,1493.07,2339.15,772.70,1441.72,2275.22
423,832.45,1539.12,2363.11,830.87,1493.10,2339.22,772.51,1441.82,2275.27
424,832.37,1539.26,2363.12,830.82,1493.13,2339.29,772.31,1441.93,2275.31
425,832.30,1539.41,2363.12,830.77,1493.16,2339.36,772.11,1442.03,2275.36
426,832.22,1539.56,2363.12,830.73,1493.19,2339.42,771.91,1442.14,2275.41
427,832.14,1539.70,2363.11,830.68,1493.22,2339.49,771.72,1442.24,2275.45
428,832.06,1539.85,2363.11,830.63,1493.25,2339.55,771.52,1442.34,2275.50
429,831.99,1540.00,2363.10,830.58,1493.29,2339.62,771.32,1442.44,2275.54
430,831.91,1540.14,2363.08,830.53,1493.32,2339.68,771.12,1442.54,2275.58
