Index,M1,M2,M3,M4,skew,kurt
337,5837.20,777049.04,31093985.15,1588214246190.75,-0.11,-0.68
338,5836.77,781908.61,20238039.64,1596326199648.59,-0.11,-0.68
339,5836.30,786687.60,9813781.41,1604442055181.61,-0.11,-0.68
340,5835.77,791387.23,-189262.93,1612561875434.68,-0.11,-0.67
341,5835.21,796008.68,-9781409.73,1620685731743.82,-0.11,-0.67
342,5834.60,800553.16,-18972819.77,1628813703997.97,-0.11,-0.66
343,5833.94,805021.86,-27773499.60,1636945880501.37,-0.11,-0.66
344,5833.25,809415.95,-36193303.05,1645082357836.96,-0.11,-0.66
345,5832.51,813736.60,-44241932.54,1653223240730.31,-0.11,-0.66
346,5831.73,817984.99,-51928940.56,1661368641914.66,-0.12,-0.65
347,5830.92,822162.27,-59263731.00,1669518681996.52,-0.12,-0.65
348,5830.06,826269.59,-66255560.53,1677673489322.21,-0.12,-0.65
349,5829.17,830308.09,-72913540.04,1685833199845.05,-0.12,-0.64
350,5828.24,834278.92,-79246635.93,1693997956993.60,-0.12,-0.64
351,5827.28,838183.19,-85263671.51,1702167911540.36,-0.12,-0.64
352,5826.28,842022.04,-90973328.35,1710343221471.59,-0.12,-0.64
353,5825.25,845796.57,-96384147.61,1718524051857.64,-0.12,-0.64
354,5824.19,849507.90,-101504531.40,1726710574724.28,-0.12,-0.63
355,5823.09,853157.12,-106342744.09,1734902968924.71,-0.12,-0.63
356,5821.96,856745.32,-110906913.63,1743101420012.38,-0.12,-0.63
357,5820.80,860273.60,-115205032.92,1751306120114.55,-0.12,-0.63
358,5819.62,863743.02,-119244961.03,1759517267806.72,-0.12,-0.63
359,5818.40,867154.66,-123034424.59,1767735067987.79,-0.12,-0.63
360,5817.15,870509.58,-126581019.01,1775959731756.00,-0.12,-0.63
361,5815.88,873808.83,-129892209.84,1784191476285.56,-0.12,-0.63
362,5814.59,877053.46,-132975333.98,1792430524704.32,-0.12,-0.63
363,5813.26,880244.52,-135837601.01,1800677105971.88,-0.12,-0.63
364,5811.91,883383.03,-138486094.43,1808931454758.64,-0.12,-0.62
365,5810.54,886470.02,-140927772.92,1817193811325.69,-0.12,-0.62
366,5809.14,889506.50,-143169471.60,1825464421405.31,-0.12,-0.62
367,5807.73,892493.50,-145217903.27,1833743536082.39,-0.12,-0.62
368,5806.28,895432.00,-147079659.66,1842031411676.38,-0.12,-0.62
369,5804.82,898323.00,-148761212.64,1850328309624.31,-0.12,-0.62
370,5803.34,901167.50,-150268915.48,1858634496364.35,-0.12,-0.62
371,5801.83,903966.47,-151609004.02,1866950243220.21,-0.12,-0.62
372,5800.31,906720.88,-152787597.91,1875275826286.28,-0.12,-0.62
373,5798.77,909431.70,-153810701.84,1883611526313.46,-0.12,-0.62
374,5797.20,912099.88,-154684206.67,1891957628595.98,-0.12,-0.62
375,5795.62,914726.38,-155413890.68,1900314422858.66,-0.12,-0.62
376,5794.03,917312.13,-156005420.72,1908682203145.06,-0.12,-0.62
377,5792.41,919858.08,-156464353.42,1917061267706.49,-0.12,-0.63
378,5790.78,922365.14,-156796136.30,1925451918891.59,-0.12,-0.63
379,5789.14,924834.24,-157006109.02,1933854463036.71,-0.12,-0.63
380,5787.48,927266.28,-157099504.43,1942269210357.16,-0.12,-0.63
381,5785.80,929662.18,-157081449.83,1950696474838.85,-0.12,-0.63
382,5784.11,932022.83,-156956968.02,1959136574131.26,-0.12,-0.63
383,5782.41,934349.11,-156730978.51,1967589829440.47,-0.12,-0.63
384,5780.69,936641.91,-156408298.57,1976056565423.44,-0.12,-0.63
385,5778.97,938902.11,-155993644.45,1984537110082.85,-0.12,-0.63
386,5777.22,941130.56,-155491632.39,1993031794662.52,-0.12,-0.63
387,5775.47,943328.12,-154906779.83,2001540953543.86,-0.12,-0.63
388,5773.71,945495.65,-154243506.43,2010064924142.80,-0.12,-0.63
389,5771.93,947633.99,-153506135.21,2018604046807.60,-0.12,-0.63
390,5770.15,949743.98,-152698893.65,2027158664717.31,-0.12,-0.64
391,5768.35,951826.43,-151825914.72,2035729123780.88,-0.12,-0.64
392,5766.54,953882.18,-150891238.01,2044315772537.36,-0.12,-0.64
393,5764.73,955912.03,-149898810.78,2052918962056.15,-0.12,-0.64
394,5762.91,957916.80,-148852489.02,2061539045838.75,-0.12,-0.64
395,5761.07,959897.27,-147756038.49,2070176379720.56,-0.12,-0.64
396,5759.23,961854.23,-146613135.82,2078831321773.86,-0.12,-0.64
397,5757.38,963788.48,-145427369.50,2087504232211.23,-0.12,-0.64
398,5755.53,965700.78,-144202240.94,2096195473289.81,-0.12,-0.64
399,5753.66,967591.90,-142941165.52,2104905409216.24,-0.12,-0.65
400,5751.79,969462.60,-141647473.57,2113634406052.30,-0.12,-0.65
401,5749.92,971313.63,-140324411.43,2122382831621.22,-0.12,-0.65
402,5748.03,973145.73,-138975142.44,2131151055414.83,-0.12,-0.65
403,5746.15,974959.65,-137602747.93,2139939448501.27,-0.12,-0.65
404,5744.25,976756.11,-136210228.28,2148748383433.43,-0.12,-0.65
405,5742.35,978535.83,-134800503.82,2157578234158.14,-0.12,-0.65
406,5740.45,980299.53,-133376415.91,2166429375926.00,-0.12,-0.65
407,5738.54,982047.91,-131940727.85,2175302185202.13,-0.12,-0.65
408,5736.62,983781.67,-130496125.89,2184197039577.03,-0.12,-0.66
409,5734.70,985501.51,-129045220.17,2193114317678.96,-0.12,-0.66
410,5732.78,987208.10,-127590545.73,2202054399086.31,-0.12,-0.66
411,5730.85,988902.12,-126134563.40,2211017664240.97,-0.12,-0.66
412,5728.92,990584.25,-124679660.81,2220004494362.41,-0.12,-0.66
413,5726.99,992255.14,-123228153.26,2229015271362.42,-0.12,-0.66
414,5725.05,993915.44,-121782284.76,2238050377760.35,-0.12,-0.66
415,5723.11,995565.81,-120344228.84,2247110196599.24,-0.12,-0.66
416,5721.17,997206.88,-118916089.57,2256195111362.71,-0.12,-0.67
417,5719.22,998839.28,-117499902.42,2265305505892.16,-0.12,-0.67
418,5717.27,1000463.64,-116097635.22,2274441764305.12,-0.12,-0.67
419,5715.32,1002080.57,-114711188.99,2283604270913.77,-0.12,-0.67
420,5713.37,1003690.68,-113342398.95,2292793410144.65,-0.12,-0.67
421,5711.41,1005294.58,-111993035.29,2302009566458.67,-0.12,-0.67
422,5709.46,1006892.85,-110664804.14,2311253124271.88,-0.12,-0.67
423,5707.50,1008486.09,-109359348.45,2320524467877.00,-0.12,-0.67
424,5705.54,1010074.87,-108078248.81,2329823981365.65,-0.12,-0.68
425,5703.58,1011659.77,-106823024.38,2339152048550.87,-0.12,-0.68
426,5701.61,1013241.35,-105595133.69,2348509052890.94,-0.12,-0.68
427,5699.65,1014820.16,-104395975.58,2357895377413.30,-0.12,-0.68
428,5697.68,1016396.76,-103226889.96,2367311404639.29,-0.12,-0.68
